Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
128,normal,none,0.01,8,0.6842105263157895,0.15789473684210525,19.77
32,normal,none,0.1,64,0.6754385964912281,0.16228070175438597,2.47
128,normal,none,0.01,32,0.6666666666666666,0.16666666666666666,7.13
128,normal,none,0.1,16,0.6666666666666666,0.16666666666666666,8.74
128,normal,none,0.01,16,0.6666666666666666,0.16666666666666666,8.81
8,normal,none,0.01,32,0.6578947368421053,0.17105263157894737,2.76
16,normal,none,0.1,64,0.6491228070175439,0.17543859649122806,1.61
16,normal,none,0.1,32,0.6491228070175439,0.17543859649122806,2.2
16,normal,none,0.5,8,0.6491228070175439,0.17543859649122806,6.54
16,normal,none,0.01,16,0.6491228070175439,0.17543859649122806,3.6
32,normal,none,0.01,8,0.6491228070175439,0.17543859649122806,7.16
32,normal,none,0.01,64,0.6491228070175439,0.17543859649122806,1.94
32,normal,none,0.5,8,0.6491228070175439,0.17543859649122806,9.19
32,normal,none,0.1,32,0.6491228070175439,0.17543859649122806,3.58
32,normal,none,0.01,32,0.6491228070175439,0.17543859649122806,2.73
32,normal,none,0.1,16,0.6491228070175439,0.17543859649122806,5.98
16,normal,none,0.01,8,0.6491228070175439,0.17543859649122806,6.45
16,normal,none,0.1,16,0.6491228070175439,0.17543859649122806,3.69
16,normal,none,0.1,8,0.6491228070175439,0.17543859649122806,6.36
16,normal,none,0.01,64,0.6491228070175439,0.17543859649122806,1.63
16,normal,none,0.01,32,0.6491228070175439,0.17543859649122806,2.26
32,normal,none,0.1,8,0.6491228070175439,0.17543859649122806,7.3
16,normal,none,0.5,16,0.6491228070175439,0.17543859649122806,3.71
4,xavier,none,0.1,32,0.6403508771929824,0.17982456140350878,2.22
128,xavier,none,0.1,8,0.6403508771929824,0.17982456140350878,9.56
128,xavier,none,0.01,32,0.6403508771929824,0.17982456140350878,5.03
4,xavier,none,0.1,64,0.6403508771929824,0.17982456140350878,1.37
4,xavier,none,0.1,16,0.6403508771929824,0.17982456140350878,3.86
4,xavier,none,0.01,64,0.6403508771929824,0.17982456140350878,1.35
4,xavier,none,0.1,8,0.6403508771929824,0.17982456140350878,7.16
4,xavier,none,0.01,16,0.6403508771929824,0.17982456140350878,3.79
4,xavier,none,0.01,32,0.6403508771929824,0.17982456140350878,2.22
128,normal,none,0.1,8,0.6403508771929824,0.17982456140350878,11.65
4,normal,none,0.01,8,0.6403508771929824,0.17982456140350878,7.83
4,normal,none,0.5,64,0.6403508771929824,0.17982456140350878,1.63
4,normal,none,0.5,32,0.6403508771929824,0.17982456140350878,2.54
4,normal,none,0.5,16,0.6403508771929824,0.17982456140350878,4.64
4,normal,none,0.5,8,0.6403508771929824,0.17982456140350878,8.26
128,xavier,none,0.01,16,0.6403508771929824,0.17982456140350878,6.54
4,normal,none,0.01,16,0.6403508771929824,0.17982456140350878,4.16
4,normal,none,0.01,64,0.6403508771929824,0.17982456140350878,1.45
32,xavier,none,0.01,8,0.6403508771929824,0.17982456140350878,8.43
128,xavier,none,0.01,8,0.6403508771929824,0.17982456140350878,9.47
32,normal,none,0.01,16,0.6403508771929824,0.17982456140350878,4.2
4,xavier,none,0.5,32,0.6403508771929824,0.17982456140350878,2.18
4,xavier,none,0.01,8,0.6403508771929824,0.17982456140350878,7.5
4,normal,none,0.01,32,0.6403508771929824,0.17982456140350878,2.45
4,normal,none,0.1,32,0.6403508771929824,0.17982456140350878,2.73
4,normal,none,0.1,16,0.6403508771929824,0.17982456140350878,4.38
4,normal,none,0.1,8,0.6403508771929824,0.17982456140350878,7.73
4,normal,none,0.1,64,0.6403508771929824,0.17982456140350878,1.57
128,normal,none,0.5,64,0.631578947368421,0.18421052631578946,7.27
128,normal,none,0.5,8,0.631578947368421,0.18421052631578946,12.34
128,normal,none,0.5,16,0.631578947368421,0.18421052631578946,9.16
128,normal,none,0.5,32,0.631578947368421,0.18421052631578946,6.66
32,xavier,none,0.1,64,0.631578947368421,0.18421052631578946,2.13
32,xavier,none,0.1,16,0.631578947368421,0.18421052631578946,5.12
32,xavier,none,0.1,8,0.631578947368421,0.18421052631578946,8.67
32,xavier,none,0.01,64,0.631578947368421,0.18421052631578946,2.11
32,xavier,none,0.01,32,0.631578947368421,0.18421052631578946,3.12
32,xavier,none,0.01,16,0.631578947368421,0.18421052631578946,5.0
2,xavier,none,0.5,64,0.631578947368421,0.18421052631578946,1.34
2,xavier,none,0.5,16,0.631578947368421,0.18421052631578946,3.92
2,xavier,none,0.5,32,0.631578947368421,0.18421052631578946,2.08
2,xavier,none,0.5,8,0.631578947368421,0.18421052631578946,7.73
32,xavier,none,0.5,32,0.631578947368421,0.18421052631578946,3.14
128,normal,none,0.1,32,0.631578947368421,0.18421052631578946,7.74
32,xavier,none,0.5,16,0.631578947368421,0.18421052631578946,5.18
32,xavier,none,0.5,8,0.631578947368421,0.18421052631578946,8.94
128,normal,none,0.1,64,0.631578947368421,0.18421052631578946,7.2
16,xavier,none,0.1,8,0.631578947368421,0.18421052631578946,6.33
16,xavier,none,0.01,64,0.631578947368421,0.18421052631578946,1.33
16,xavier,none,0.01,32,0.631578947368421,0.18421052631578946,2.05
16,xavier,none,0.01,16,0.631578947368421,0.18421052631578946,3.39
16,xavier,none,0.01,8,0.631578947368421,0.18421052631578946,6.08
16,xavier,none,0.5,64,0.631578947368421,0.18421052631578946,1.46
16,xavier,none,0.5,32,0.631578947368421,0.18421052631578946,2.02
16,xavier,none,0.5,16,0.631578947368421,0.18421052631578946,3.61
16,xavier,none,0.5,8,0.631578947368421,0.18421052631578946,6.51
4,xavier,none,0.5,8,0.631578947368421,0.18421052631578946,7.42
4,xavier,none,0.5,16,0.631578947368421,0.18421052631578946,4.03
32,normal,none,0.5,32,0.631578947368421,0.18421052631578946,4.01
32,normal,none,0.5,16,0.631578947368421,0.18421052631578946,5.75
4,xavier,none,0.5,64,0.631578947368421,0.18421052631578946,1.43
32,xavier,none,0.1,32,0.631578947368421,0.18421052631578946,3.21
16,xavier,none,0.1,16,0.631578947368421,0.18421052631578946,3.54
8,normal,none,0.01,64,0.631578947368421,0.18421052631578946,1.74
8,normal,none,0.01,16,0.631578947368421,0.18421052631578946,5.0
8,normal,none,0.01,8,0.631578947368421,0.18421052631578946,9.73
8,normal,none,0.5,64,0.631578947368421,0.18421052631578946,1.98
8,xavier,none,0.1,32,0.631578947368421,0.18421052631578946,1.92
8,normal,none,0.5,8,0.631578947368421,0.18421052631578946,8.64
8,xavier,none,0.1,16,0.631578947368421,0.18421052631578946,3.44
8,xavier,none,0.1,8,0.631578947368421,0.18421052631578946,6.6
8,xavier,none,0.01,8,0.631578947368421,0.18421052631578946,8.12
8,xavier,none,0.01,64,0.631578947368421,0.18421052631578946,2.07
16,normal,none,0.5,64,0.631578947368421,0.18421052631578946,1.64
8,normal,none,0.1,32,0.631578947368421,0.18421052631578946,2.91
8,xavier,none,0.01,16,0.631578947368421,0.18421052631578946,4.57
8,xavier,none,0.01,32,0.631578947368421,0.18421052631578946,2.76
16,xavier,none,0.1,64,0.631578947368421,0.18421052631578946,1.4
16,xavier,none,0.1,32,0.631578947368421,0.18421052631578946,2.19
8,xavier,none,0.5,8,0.631578947368421,0.18421052631578946,6.15
8,normal,none,0.1,16,0.631578947368421,0.18421052631578946,5.49
16,normal,none,0.5,32,0.631578947368421,0.18421052631578946,2.31
8,normal,none,0.1,8,0.631578947368421,0.18421052631578946,9.58
128,xavier,none,0.5,16,0.631578947368421,0.18421052631578946,6.87
128,xavier,none,0.5,8,0.631578947368421,0.18421052631578946,9.79
8,xavier,none,0.5,64,0.631578947368421,0.18421052631578946,1.23
128,xavier,z-score,0.5,64,0.631578947368421,0.18421052631578946,5.76
128,xavier,none,0.5,32,0.631578947368421,0.18421052631578946,5.37
128,xavier,none,0.5,64,0.631578947368421,0.18421052631578946,4.34
128,xavier,none,0.1,16,0.631578947368421,0.18421052631578946,6.73
128,xavier,none,0.1,32,0.631578947368421,0.18421052631578946,5.29
2,xavier,none,0.01,8,0.631578947368421,0.18421052631578946,7.19
2,xavier,none,0.01,16,0.631578947368421,0.18421052631578946,3.9
2,xavier,none,0.01,32,0.631578947368421,0.18421052631578946,2.14
2,xavier,none,0.01,64,0.631578947368421,0.18421052631578946,1.35
2,xavier,none,0.1,8,0.631578947368421,0.18421052631578946,7.18
2,xavier,none,0.1,16,0.631578947368421,0.18421052631578946,4.71
2,xavier,none,0.1,32,0.631578947368421,0.18421052631578946,2.94
2,xavier,none,0.1,64,0.631578947368421,0.18421052631578946,1.69
2,normal,none,0.5,8,0.631578947368421,0.18421052631578946,8.06
2,normal,none,0.5,16,0.631578947368421,0.18421052631578946,4.51
2,normal,none,0.5,32,0.631578947368421,0.18421052631578946,2.6
2,normal,none,0.5,64,0.631578947368421,0.18421052631578946,1.52
2,normal,none,0.01,8,0.631578947368421,0.18421052631578946,8.58
2,normal,none,0.01,16,0.631578947368421,0.18421052631578946,4.54
2,normal,none,0.01,32,0.631578947368421,0.18421052631578946,2.6
2,normal,none,0.01,64,0.631578947368421,0.18421052631578946,1.56
2,normal,none,0.1,8,0.631578947368421,0.18421052631578946,9.31
2,normal,none,0.1,16,0.631578947368421,0.18421052631578946,4.53
2,normal,none,0.1,32,0.631578947368421,0.18421052631578946,2.55
2,normal,none,0.1,64,0.631578947368421,0.18421052631578946,1.56
2,normal,z-score,0.01,8,0.3684210526315789,0.3157894736842105,7.85
2,normal,z-score,0.01,16,0.3684210526315789,0.3157894736842105,4.13
2,normal,z-score,0.01,32,0.3684210526315789,0.3157894736842105,2.1
2,normal,z-score,0.01,64,0.3684210526315789,0.3157894736842105,1.44
2,normal,z-score,0.1,8,0.3684210526315789,0.3157894736842105,8.06
2,normal,z-score,0.1,16,0.3684210526315789,0.3157894736842105,3.89
2,normal,z-score,0.1,32,0.3684210526315789,0.3157894736842105,2.18
2,normal,z-score,0.1,64,0.3684210526315789,0.3157894736842105,1.36
2,normal,z-score,0.5,8,0.3684210526315789,0.3157894736842105,7.36
2,normal,z-score,0.5,16,0.3684210526315789,0.3157894736842105,3.9
2,normal,z-score,0.5,32,0.3684210526315789,0.3157894736842105,2.15
2,normal,z-score,0.5,64,0.3684210526315789,0.3157894736842105,1.3
128,normal,z-score,0.1,8,0.3684210526315789,0.3157894736842105,8.96
128,normal,z-score,0.1,16,0.3684210526315789,0.3157894736842105,6.19
128,normal,z-score,0.1,32,0.3684210526315789,0.3157894736842105,4.77
128,normal,z-score,0.1,64,0.3684210526315789,0.3157894736842105,3.89
128,normal,z-score,0.5,8,0.3684210526315789,0.3157894736842105,8.96
128,normal,z-score,0.5,16,0.3684210526315789,0.3157894736842105,6.2
128,normal,z-score,0.5,32,0.3684210526315789,0.3157894736842105,4.8
128,normal,z-score,0.5,64,0.3684210526315789,0.3157894736842105,3.98
128,xavier,none,0.01,64,0.3684210526315789,0.3157894736842105,4.11
128,xavier,none,0.1,64,0.3684210526315789,0.3157894736842105,4.62
128,xavier,z-score,0.01,8,0.3684210526315789,0.3157894736842105,9.01
128,xavier,z-score,0.01,16,0.3684210526315789,0.3157894736842105,6.22
128,xavier,z-score,0.01,32,0.3684210526315789,0.3157894736842105,4.78
128,xavier,z-score,0.01,64,0.3684210526315789,0.3157894736842105,3.94
128,xavier,z-score,0.1,8,0.3684210526315789,0.3157894736842105,12.53
128,xavier,z-score,0.1,16,0.3684210526315789,0.3157894736842105,8.58
128,xavier,z-score,0.1,32,0.3684210526315789,0.3157894736842105,6.61
128,xavier,z-score,0.1,64,0.3684210526315789,0.3157894736842105,5.64
128,xavier,z-score,0.5,8,0.3684210526315789,0.3157894736842105,12.41
128,xavier,z-score,0.5,16,0.3684210526315789,0.3157894736842105,8.49
128,xavier,z-score,0.5,32,0.3684210526315789,0.3157894736842105,6.62
8,xavier,none,0.5,16,0.3684210526315789,0.3157894736842105,3.31
8,xavier,none,0.5,32,0.3684210526315789,0.3157894736842105,1.99
8,xavier,z-score,0.01,8,0.3684210526315789,0.3157894736842105,5.75
8,xavier,z-score,0.01,16,0.3684210526315789,0.3157894736842105,3.09
8,xavier,z-score,0.01,32,0.3684210526315789,0.3157894736842105,1.81
8,xavier,z-score,0.01,64,0.3684210526315789,0.3157894736842105,1.09
8,xavier,z-score,0.1,8,0.3684210526315789,0.3157894736842105,5.93
8,xavier,z-score,0.1,16,0.3684210526315789,0.3157894736842105,3.12
8,xavier,z-score,0.1,32,0.3684210526315789,0.3157894736842105,1.73
8,xavier,z-score,0.1,64,0.3684210526315789,0.3157894736842105,1.12
8,xavier,z-score,0.5,8,0.3684210526315789,0.3157894736842105,5.69
8,xavier,z-score,0.5,16,0.3684210526315789,0.3157894736842105,3.1
8,xavier,z-score,0.5,32,0.3684210526315789,0.3157894736842105,1.77
8,xavier,z-score,0.5,64,0.3684210526315789,0.3157894736842105,1.09
16,normal,z-score,0.01,8,0.3684210526315789,0.3157894736842105,6.05
16,normal,z-score,0.01,16,0.3684210526315789,0.3157894736842105,3.23
16,normal,z-score,0.01,32,0.3684210526315789,0.3157894736842105,1.99
16,normal,z-score,0.01,64,0.3684210526315789,0.3157894736842105,1.27
8,normal,none,0.1,64,0.3684210526315789,0.3157894736842105,1.99
8,normal,none,0.5,16,0.3684210526315789,0.3157894736842105,4.93
8,normal,none,0.5,32,0.3684210526315789,0.3157894736842105,2.94
8,normal,z-score,0.01,8,0.3684210526315789,0.3157894736842105,8.37
8,normal,z-score,0.01,16,0.3684210526315789,0.3157894736842105,4.59
8,normal,z-score,0.01,32,0.3684210526315789,0.3157894736842105,2.46
8,normal,z-score,0.01,64,0.3684210526315789,0.3157894736842105,1.59
8,normal,z-score,0.1,8,0.3684210526315789,0.3157894736842105,7.69
8,normal,z-score,0.1,16,0.3684210526315789,0.3157894736842105,4.22
8,normal,z-score,0.1,32,0.3684210526315789,0.3157894736842105,2.46
8,normal,z-score,0.1,64,0.3684210526315789,0.3157894736842105,1.52
8,normal,z-score,0.5,8,0.3684210526315789,0.3157894736842105,7.92
8,normal,z-score,0.5,16,0.3684210526315789,0.3157894736842105,4.51
8,normal,z-score,0.5,32,0.3684210526315789,0.3157894736842105,2.47
8,normal,z-score,0.5,64,0.3684210526315789,0.3157894736842105,1.53
8,xavier,none,0.1,64,0.3684210526315789,0.3157894736842105,1.2
16,normal,z-score,0.1,8,0.3684210526315789,0.3157894736842105,5.96
16,normal,z-score,0.1,16,0.3684210526315789,0.3157894736842105,3.22
16,normal,z-score,0.1,32,0.3684210526315789,0.3157894736842105,1.95
16,normal,z-score,0.1,64,0.3684210526315789,0.3157894736842105,1.29
16,normal,z-score,0.5,8,0.3684210526315789,0.3157894736842105,6.02
16,normal,z-score,0.5,16,0.3684210526315789,0.3157894736842105,3.23
