Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
128,normal,none,0.5,8,1.0,0.0,10.16
128,normal,z-score,0.01,8,1.0,0.0,10.76
128,normal,z-score,0.01,16,1.0,0.0,6.79
128,normal,z-score,0.01,32,1.0,0.0,5.31
128,normal,z-score,0.01,64,1.0,0.0,4.44
128,normal,none,0.01,8,1.0,0.0,10.38
128,normal,none,0.01,16,1.0,0.0,6.93
128,normal,none,0.01,32,1.0,0.0,5.53
128,normal,none,0.01,64,1.0,0.0,4.72
128,normal,none,0.1,8,1.0,0.0,11.26
128,normal,none,0.1,16,1.0,0.0,6.97
128,normal,none,0.1,32,1.0,0.0,5.55
128,normal,none,0.1,64,1.0,0.0,4.53
32,xavier,none,0.5,8,1.0,0.0,8.36
32,xavier,none,0.5,16,1.0,0.0,5.11
32,xavier,none,0.5,32,1.0,0.0,3.63
32,xavier,none,0.5,64,1.0,0.0,2.87
4,normal,none,0.5,8,1.0,0.0,5.52
4,normal,none,0.5,16,1.0,0.0,3.15
4,normal,none,0.5,32,1.0,0.0,2.17
4,normal,none,0.5,64,1.0,0.0,1.69
4,normal,none,0.01,8,1.0,0.0,5.54
4,normal,none,0.01,16,1.0,0.0,3.16
4,normal,none,0.01,32,1.0,0.0,2.16
4,normal,none,0.01,64,1.0,0.0,1.73
4,normal,none,0.1,8,1.0,0.0,5.53
4,normal,none,0.1,16,1.0,0.0,3.15
4,normal,none,0.1,32,1.0,0.0,2.16
4,normal,none,0.1,64,1.0,0.0,1.73
2,xavier,none,0.5,8,1.0,0.0,5.45
2,xavier,none,0.5,16,1.0,0.0,3.05
2,xavier,none,0.5,32,1.0,0.0,2.13
2,xavier,none,0.5,64,1.0,0.0,1.66
4,xavier,none,0.5,8,1.0,0.0,5.62
4,xavier,none,0.5,16,1.0,0.0,3.2
4,xavier,none,0.5,32,1.0,0.0,2.24
4,xavier,none,0.5,64,1.0,0.0,1.69
4,xavier,none,0.01,8,1.0,0.0,5.68
4,xavier,none,0.01,16,1.0,0.0,3.29
4,xavier,none,0.01,32,1.0,0.0,2.19
4,xavier,none,0.01,64,1.0,0.0,1.69
4,xavier,none,0.1,8,1.0,0.0,5.58
4,xavier,none,0.1,16,1.0,0.0,3.2
4,xavier,none,0.1,32,1.0,0.0,2.22
4,xavier,none,0.1,64,1.0,0.0,1.72
32,xavier,none,0.01,8,1.0,0.0,8.05
32,xavier,none,0.01,16,1.0,0.0,5.13
32,xavier,none,0.01,32,1.0,0.0,3.56
32,xavier,none,0.01,64,1.0,0.0,3.16
32,xavier,none,0.1,8,1.0,0.0,8.64
32,xavier,none,0.1,16,1.0,0.0,5.05
32,xavier,none,0.1,32,1.0,0.0,3.59
32,xavier,none,0.1,64,1.0,0.0,2.76
32,normal,none,0.5,8,1.0,0.0,8.19
32,normal,none,0.5,16,1.0,0.0,5.1
32,normal,none,0.01,8,1.0,0.0,8.6
32,normal,none,0.01,16,1.0,0.0,4.91
32,normal,none,0.01,32,1.0,0.0,3.55
32,normal,none,0.01,64,1.0,0.0,2.92
32,normal,none,0.1,8,1.0,0.0,8.65
32,normal,none,0.1,16,1.0,0.0,5.01
32,normal,none,0.1,32,1.0,0.0,3.68
32,normal,none,0.1,64,1.0,0.0,2.85
16,xavier,none,0.5,8,1.0,0.0,7.88
16,xavier,none,0.5,16,1.0,0.0,4.59
16,xavier,none,0.5,32,1.0,0.0,3.34
16,xavier,none,0.5,64,1.0,0.0,2.62
16,xavier,none,0.01,8,1.0,0.0,7.7
16,xavier,none,0.01,16,1.0,0.0,4.61
16,xavier,none,0.01,32,1.0,0.0,3.18
16,xavier,none,0.01,64,1.0,0.0,2.7
16,xavier,none,0.1,8,1.0,0.0,8.13
16,xavier,none,0.1,16,1.0,0.0,4.61
16,xavier,none,0.1,32,1.0,0.0,3.47
16,xavier,none,0.1,64,1.0,0.0,2.52
8,xavier,none,0.01,8,1.0,0.0,9.14
8,xavier,none,0.01,16,1.0,0.0,5.16
8,xavier,none,0.01,32,1.0,0.0,3.91
8,xavier,none,0.01,64,1.0,0.0,2.99
8,xavier,none,0.1,8,1.0,0.0,9.49
8,xavier,none,0.1,16,1.0,0.0,5.24
8,xavier,none,0.1,32,1.0,0.0,3.82
8,xavier,none,0.1,64,1.0,0.0,2.87
8,normal,none,0.5,8,1.0,0.0,9.31
8,normal,none,0.5,16,1.0,0.0,5.93
8,normal,none,0.5,32,1.0,0.0,4.07
8,normal,none,0.5,64,1.0,0.0,2.74
8,normal,none,0.01,8,1.0,0.0,9.15
8,normal,none,0.01,16,1.0,0.0,5.27
8,normal,none,0.01,32,1.0,0.0,3.68
8,normal,none,0.01,64,1.0,0.0,2.73
8,normal,none,0.1,8,1.0,0.0,9.16
8,normal,none,0.1,16,1.0,0.0,5.67
8,normal,none,0.1,32,1.0,0.0,3.84
8,normal,none,0.1,64,1.0,0.0,3.15
16,normal,none,0.5,8,1.0,0.0,8.03
16,normal,none,0.5,16,1.0,0.0,4.39
16,normal,none,0.5,32,1.0,0.0,3.24
16,normal,none,0.01,8,1.0,0.0,8.27
16,normal,none,0.01,16,1.0,0.0,4.8
16,normal,none,0.01,32,1.0,0.0,3.65
16,normal,none,0.01,64,1.0,0.0,2.65
16,normal,none,0.1,8,1.0,0.0,8.01
16,normal,none,0.1,16,1.0,0.0,4.64
16,normal,none,0.1,32,1.0,0.0,3.22
16,normal,none,0.1,64,1.0,0.0,2.63
8,xavier,none,0.5,8,1.0,0.0,8.62
8,xavier,none,0.5,16,1.0,0.0,6.0
8,xavier,none,0.5,32,1.0,0.0,4.02
8,xavier,none,0.5,64,1.0,0.0,2.63
128,xavier,none,0.5,8,1.0,0.0,10.5
128,xavier,none,0.01,8,1.0,0.0,10.1
128,xavier,none,0.01,16,1.0,0.0,6.6
128,xavier,none,0.01,32,1.0,0.0,5.15
128,xavier,none,0.01,64,1.0,0.0,4.5
128,xavier,none,0.1,8,1.0,0.0,10.15
128,xavier,none,0.1,16,1.0,0.0,6.78
128,xavier,none,0.1,32,1.0,0.0,5.44
128,xavier,none,0.1,64,1.0,0.0,4.52
128,normal,z-score,0.1,8,1.0,0.0,10.08
128,normal,z-score,0.1,16,1.0,0.0,6.68
128,normal,z-score,0.1,32,1.0,0.0,5.38
128,normal,z-score,0.1,64,1.0,0.0,4.86
128,normal,z-score,0.5,64,1.0,0.0,4.62
2,xavier,none,0.01,8,1.0,0.0,5.45
2,xavier,none,0.01,16,1.0,0.0,3.12
2,xavier,none,0.01,32,1.0,0.0,2.14
2,xavier,none,0.01,64,1.0,0.0,1.61
2,xavier,none,0.1,8,1.0,0.0,5.45
2,xavier,none,0.1,16,1.0,0.0,3.08
2,xavier,none,0.1,32,1.0,0.0,2.12
2,xavier,none,0.1,64,1.0,0.0,1.65
2,normal,z-score,0.1,8,1.0,0.0,5.41
2,normal,z-score,0.1,16,1.0,0.0,3.1
2,normal,z-score,0.1,32,1.0,0.0,2.11
2,normal,z-score,0.1,64,1.0,0.0,1.62
2,normal,none,0.5,8,1.0,0.0,5.59
2,normal,none,0.5,16,1.0,0.0,3.19
2,normal,none,0.5,32,1.0,0.0,2.13
2,normal,none,0.5,64,1.0,0.0,1.63
2,normal,z-score,0.01,8,1.0,0.0,5.54
2,normal,z-score,0.01,16,1.0,0.0,3.07
2,normal,z-score,0.01,32,1.0,0.0,2.14
2,normal,z-score,0.01,64,1.0,0.0,1.63
2,normal,none,0.01,8,1.0,0.0,5.65
2,normal,none,0.01,16,1.0,0.0,3.3
2,normal,none,0.01,32,1.0,0.0,2.22
2,normal,none,0.01,64,1.0,0.0,1.65
2,normal,none,0.1,8,1.0,0.0,5.48
2,normal,none,0.1,16,1.0,0.0,3.21
2,normal,none,0.1,32,1.0,0.0,2.13
2,normal,none,0.1,64,1.0,0.0,1.7
2,normal,z-score,0.5,16,0.95,0.025,3.13
2,normal,z-score,0.5,32,0.95,0.025,2.08
2,normal,z-score,0.5,64,0.95,0.025,1.66
2,normal,z-score,0.5,8,0.9,0.05,5.58
128,normal,z-score,0.5,32,0.7,0.15,5.43
4,normal,z-score,0.01,16,0.6,0.2,3.16
4,normal,z-score,0.01,8,0.6,0.2,5.55
4,normal,z-score,0.01,32,0.6,0.2,2.21
32,normal,z-score,0.01,64,0.6,0.2,2.94
32,normal,z-score,0.01,32,0.6,0.2,3.6
32,normal,z-score,0.01,16,0.6,0.2,5.2
4,normal,z-score,0.01,64,0.6,0.2,1.76
32,normal,z-score,0.01,8,0.6,0.2,8.27
128,xavier,none,0.5,16,0.5,0.25,6.68
128,normal,z-score,0.5,8,0.5,0.25,10.49
128,normal,z-score,0.5,16,0.5,0.25,6.61
128,xavier,none,0.5,32,0.5,0.25,5.37
128,xavier,none,0.5,64,0.5,0.25,4.54
128,xavier,z-score,0.01,8,0.5,0.25,10.23
128,xavier,z-score,0.01,16,0.5,0.25,6.74
128,xavier,z-score,0.01,32,0.5,0.25,5.44
128,xavier,z-score,0.01,64,0.5,0.25,4.56
128,xavier,z-score,0.1,8,0.5,0.25,10.36
128,xavier,z-score,0.1,16,0.5,0.25,6.97
8,xavier,z-score,0.01,32,0.5,0.25,3.12
8,xavier,z-score,0.01,64,0.5,0.25,2.54
