Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
128,normal,none,0.5,8,0.5384615384615384,0.23076923076923078,15.69
128,normal,none,0.5,16,0.5384615384615384,0.23076923076923078,11.8
128,normal,none,0.5,32,0.5384615384615384,0.23076923076923078,8.99
128,normal,none,0.5,64,0.5384615384615384,0.23076923076923078,7.49
128,normal,none,0.01,8,0.5384615384615384,0.23076923076923078,15.0
128,normal,none,0.01,16,0.5384615384615384,0.23076923076923078,10.67
128,normal,none,0.01,32,0.5384615384615384,0.23076923076923078,8.57
128,normal,none,0.1,8,0.5384615384615384,0.23076923076923078,14.99
128,normal,none,0.1,16,0.5384615384615384,0.23076923076923078,11.22
128,normal,none,0.1,32,0.5384615384615384,0.23076923076923078,9.53
128,normal,none,0.1,64,0.5384615384615384,0.23076923076923078,8.16
32,xavier,none,0.5,8,0.5384615384615384,0.23076923076923078,8.1
32,xavier,none,0.5,16,0.5384615384615384,0.23076923076923078,5.31
32,xavier,none,0.5,32,0.5384615384615384,0.23076923076923078,3.62
32,xavier,none,0.5,64,0.5384615384615384,0.23076923076923078,2.5
4,normal,none,0.5,8,0.5384615384615384,0.23076923076923078,7.3
4,normal,none,0.5,16,0.5384615384615384,0.23076923076923078,4.38
4,normal,none,0.5,32,0.5384615384615384,0.23076923076923078,2.88
4,normal,none,0.01,8,0.5384615384615384,0.23076923076923078,7.34
4,normal,none,0.01,16,0.5384615384615384,0.23076923076923078,4.47
4,normal,none,0.01,32,0.5384615384615384,0.23076923076923078,2.84
4,normal,none,0.01,64,0.5384615384615384,0.23076923076923078,1.89
4,normal,none,0.1,8,0.5384615384615384,0.23076923076923078,7.31
4,normal,none,0.1,16,0.5384615384615384,0.23076923076923078,4.39
4,normal,none,0.1,32,0.5384615384615384,0.23076923076923078,2.86
4,normal,none,0.1,64,0.5384615384615384,0.23076923076923078,1.93
2,xavier,none,0.5,8,0.5384615384615384,0.23076923076923078,6.73
2,xavier,none,0.5,16,0.5384615384615384,0.23076923076923078,3.99
