Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
128,normal,none,0.5,8,1.0,0.0,0.24
128,normal,none,0.5,16,1.0,0.0,0.26
128,normal,none,0.5,32,1.0,0.0,0.27
128,normal,none,0.5,64,1.0,0.0,0.26
128,normal,none,0.01,64,1.0,0.0,0.28
128,normal,none,0.01,32,1.0,0.0,0.25
128,normal,none,0.01,16,1.0,0.0,0.31
128,normal,none,0.01,8,1.0,0.0,0.25
128,normal,none,0.1,64,1.0,0.0,0.25
128,normal,none,0.1,32,1.0,0.0,0.27
128,normal,none,0.1,16,1.0,0.0,0.25
128,normal,none,0.1,8,1.0,0.0,0.27
32,xavier,none,0.5,8,1.0,0.0,0.22
32,xavier,none,0.5,16,1.0,0.0,0.22
32,xavier,none,0.5,32,1.0,0.0,0.22
32,xavier,none,0.5,64,1.0,0.0,0.23
2,xavier,none,0.5,8,1.0,0.0,0.21
2,xavier,none,0.5,16,1.0,0.0,0.22
2,xavier,none,0.5,32,1.0,0.0,0.21
2,xavier,none,0.5,64,1.0,0.0,0.21
4,normal,none,0.1,64,1.0,0.0,0.21
4,normal,none,0.1,32,1.0,0.0,0.26
4,normal,none,0.1,16,1.0,0.0,0.21
4,normal,none,0.1,8,1.0,0.0,0.21
4,normal,none,0.5,64,1.0,0.0,0.21
4,normal,none,0.5,32,1.0,0.0,0.21
4,normal,none,0.5,16,1.0,0.0,0.21
4,normal,none,0.5,8,1.0,0.0,0.21
4,xavier,none,0.1,64,1.0,0.0,0.21
4,xavier,none,0.1,32,1.0,0.0,0.21
4,xavier,none,0.1,16,1.0,0.0,0.21
4,xavier,none,0.1,8,1.0,0.0,0.21
4,xavier,none,0.5,8,1.0,0.0,0.2
4,xavier,none,0.5,16,1.0,0.0,0.21
4,xavier,none,0.5,32,1.0,0.0,0.21
4,xavier,none,0.5,64,1.0,0.0,0.22
8,normal,z-score,0.1,64,1.0,0.0,0.21
8,normal,z-score,0.1,32,1.0,0.0,0.23
8,normal,z-score,0.1,16,1.0,0.0,0.21
8,normal,z-score,0.1,8,1.0,0.0,0.21
8,normal,none,0.5,64,1.0,0.0,0.21
8,normal,none,0.5,32,1.0,0.0,0.23
8,normal,none,0.5,16,1.0,0.0,0.21
8,normal,none,0.5,8,1.0,0.0,0.21
8,xavier,none,0.1,8,1.0,0.0,0.23
8,xavier,none,0.1,16,1.0,0.0,0.54
8,xavier,none,0.1,32,1.0,0.0,0.6
8,xavier,none,0.1,64,1.0,0.0,0.56
32,normal,none,0.1,8,1.0,0.0,0.23
32,normal,none,0.1,16,1.0,0.0,0.22
32,normal,none,0.1,32,1.0,0.0,0.23
32,normal,none,0.1,64,1.0,0.0,0.22
32,normal,none,0.5,64,1.0,0.0,0.21
