Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
128,Normal,none,0.1,16,TF,"(1, 2)",only_normalizar_texto,100,0.022272786476855346,570.7317340373993,0.736,0.7321428571428571,0.732643633287787,0.7317389331777822
128,Normal,none,0.1,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.02272327892458355,549.6507940292358,0.736,0.7331133540372672,0.7327692009560105,0.7335536975824746
128,Normal,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,100,0.014279202210120603,141.4954960346222,0.776,0.7717788210745957,0.774055829228243,0.7704323028064035
128,Normal,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,29,0.20632475398258673,46.51019215583801,0.556,0.35732647814910024,0.278,0.5
128,Normal,none,0.5,16,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.011661735567428841,473.9182779788971,0.712,0.7106621015576023,0.7107774077868853,0.7133320370730443
128,Normal,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,11,0.20631824966008888,22.83225154876709,0.556,0.35732647814910024,0.278,0.5
128,Normal,none,0.5,32,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,11,0.2063379640603579,33.25990271568298,0.556,0.35732647814910024,0.278,0.5
128,Xavier,none,0.01,16,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.07551482617660688,487.24381375312805,0.698,0.6590483157889984,0.7440460827330533,0.6685300408321991
128,Normal,none,0.5,64,TF,"(2, 2)",normalizar_txt_sin_StopWords,29,0.2063247506791717,63.03803777694702,0.556,0.35732647814910024,0.278,0.5
128,Xavier,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,11,0.20633322094710332,19.30048966407776,0.556,0.35732647814910024,0.278,0.5
128,Xavier,none,0.01,16,TF,"(1, 2)",only_normalizar_texto,100,0.00793673556117708,542.5987787246704,0.81,0.8067338012409724,0.8084686983690763,0.8055447533864799
128,Normal,none,0.5,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.02523154946315488,319.4387438297272,0.736,0.7318773460732219,0.73268779342723,0.7312852420766089
128,Normal,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.025475606836124584,534.1546289920807,0.73,0.7271613870710876,0.7267673589259492,0.727704323028064
128,Normal,none,0.01,64,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0920321443511647,208.0518138408661,0.634,0.633998535994144,0.641700798109145,0.6418270788774385
128,Normal,none,0.1,16,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.016159133863457496,462.78199887275696,0.694,0.689970861313632,0.6900614671013152,0.6898859290945623
128,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.10213595688115057,130.0791721343994,0.642,0.6138496386581814,0.6445025562672622,0.6195314019055026
128,Xavier,none,0.5,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,11,0.20630171310660786,30.990189790725708,0.556,0.35732647814910024,0.278,0.5
128,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.05080707357590079,154.69054079055786,0.784,0.7801696764423312,0.7820034067085954,0.7789876207142394
128,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.02343450040736577,310.24330615997314,0.736,0.7323991631392011,0.7326298701298701,0.7321926242789552
128,Xavier,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,11,0.2936665129666893,17.941863775253296,0.444,0.3074792243767313,0.222,0.5
