Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
64,Normal,none,0.01,64,TF-IDF,"(1, 2)",only_normalizar_texto,100,0.0895789914821664,149.74276900291443,0.64,0.6230587525757652,0.6297322253000923,0.6223132287847764
64,Normal,none,0.01,16,TF,"(2, 2)",only_normalizar_texto,100,0.1096867803562532,415.3738498687744,0.569,0.5424234992605521,0.5501316643820792,0.5454406120872519
64,Xavier,none,0.01,32,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,100,0.046855186332897,194.55589413642883,0.714,0.7079439252336448,0.7078245747247498,0.7080692031340043
64,Xavier,none,0.1,32,TF-IDF,"(1, 1)",only_normalizar_texto,100,0.0064494339208636,200.348649263382,0.717,0.7129348707040399,0.7120790369689047,0.7148640419175137
64,Xavier,none,0.01,16,TF,"(2, 2)",only_normalizar_texto,100,0.0172830559024473,419.7074890136719,0.653,0.6409766676219929,0.6439050021017234,0.6399225899268814
64,Xavier,none,0.01,32,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0318850761987949,275.61108469963074,0.684,0.6699959480515141,0.677113868908489,0.6681666401003796
64,Normal,none,0.5,64,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0246707476184066,206.1057779788971,0.705,0.7010463378176383,0.7002811840345478,0.703199398375778
64,Normal,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0266993243587422,206.77870059013367,0.691,0.6883041425287311,0.6883814102564103,0.6921764328424701
64,Normal,none,0.01,16,TF-IDF,"(1, 1)",only_normalizar_texto,100,0.0871685206741409,457.1996867656708,0.669,0.648228228675032,0.6630257801899593,0.6473202790686268
64,Xavier,none,0.1,32,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,75,0.0196021667613378,329.7473838329315,0.677,0.6694634357996683,0.6697428622968563,0.6692190737766225
64,Normal,none,0.1,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.019965739231167,351.695463180542,0.685,0.6803195586583164,0.6796476325818746,0.6818687134968999
64,Xavier,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,80,0.0063175030924696,322.6374490261078,0.698,0.6943010426156493,0.6936584738025426,0.6967928360941836
64,Xavier,none,0.01,16,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0149495283566518,421.1552817821503,0.71,0.7063160282584743,0.7055566063932968,0.7087558394742328
64,Xavier,none,0.5,32,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,19,0.2101688828090062,38.75056982040405,0.573,0.3642720915448188,0.2865,0.5
64,Normal,none,0.01,16,TF,"(1, 1)",only_normalizar_texto,100,0.0752460634471058,419.8885889053345,0.661,0.6452041332148587,0.6524662706316355,0.6439197943360676
64,Xavier,none,0.5,64,TF-IDF,"(2, 2)",only_normalizar_texto,11,0.2101978450587598,16.063860177993774,0.573,0.3642720915448188,0.2865,0.5
64,Xavier,none,0.01,16,TF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.035072251850306,422.3219785690308,0.676,0.6575689935064934,0.6699745014885257,0.6561137200567293
64,Xavier,none,0.5,64,TF,"(1, 2)",only_normalizar_texto,11,0.2101978452558049,23.314021825790405,0.573,0.3642720915448188,0.2865,0.5
64,Normal,none,0.1,64,TF,"(1, 1)",only_normalizar_texto,100,0.0175368466465037,213.79159665107727,0.662,0.6578601072983096,0.6574602523418238,0.6600087464390958
64,Normal,none,0.1,32,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.0316844161628963,194.71370363235476,0.661,0.647021706603193,0.6522740086449916,0.6457099533659486
128,Normal,none,0.1,16,TF,"(1, 2)",only_normalizar_texto,100,0.0229529893642319,809.3649213314056,0.662,0.6556305425143454,0.6552670191967679,0.6561300685410204
128,Normal,none,0.1,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0246520776392901,1162.6559388637545,0.676,0.6720315821439418,0.6715373384654367,0.6743136701938521
128,Normal,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,100,0.0171037450636315,316.9475405216217,0.693,0.6885901247566794,0.6878741669490569,0.6903413154807885
128,Normal,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,15,0.2898232568698464,49.01484489440918,0.427,0.299229152067274,0.2135,0.5
128,Normal,none,0.5,16,TF-IDF,"(2, 2)",only_normalizar_texto,16,0.2101722279081698,149.22500920295715,0.573,0.3642720915448188,0.2865,0.5
128,Normal,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0371319113579636,408.09542751312256,0.71,0.7065775201955611,0.7058989046327002,0.7093525591508597
128,Normal,none,0.5,32,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0276668101787164,625.5071032047272,0.67,0.6599396547460059,0.6618928471808792,0.6589338335969526
128,Xavier,none,0.01,16,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.0697642142779976,1063.6102550029757,0.673,0.6642982756018763,0.6652714483851793,0.6636401535122676
128,Normal,none,0.5,64,TF,"(2, 2)",normalizar_txt_sin_StopWords,18,0.2101450754272736,119.55355715751648,0.573,0.3642720915448188,0.2865,0.5
128,Xavier,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,18,0.2101447187292301,91.5883719921112,0.573,0.3642720915448188,0.2865,0.5
128,Xavier,none,0.01,16,TF,"(1, 2)",only_normalizar_texto,100,0.0093569109154962,895.0006563663483,0.724,0.7214327239842387,0.7211098684817073,0.7254476419354972
128,Normal,none,0.5,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0339778428024339,383.2954168319702,0.707,0.7017237921595095,0.7011363636363637,0.7025577203673504
128,Normal,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0341759172657689,632.3273720741272,0.706,0.6988581191538528,0.6994072437037615,0.698403161796862
128,Normal,none,0.01,64,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.1073342068736979,263.2290060520172,0.621,0.6047105156389662,0.6094165594165595,0.6042420229614462
128,Normal,none,0.1,16,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.0215223570491663,573.5075948238373,0.637,0.6331076389415307,0.6330991569650742,0.6355084991682709
128,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.1109523870080689,206.11298179626465,0.622,0.6008869179600886,0.6099151989562948,0.601235945412411
128,Xavier,none,0.5,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,16,0.2101714051942909,91.459290266037,0.573,0.3642720915448188,0.2865,0.5
128,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0444624428626018,205.28511929512024,0.732,0.7300955542306515,0.7305055646933115,0.735412043110953
128,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0275166998868982,433.8383469581604,0.678,0.6736080701925105,0.6730015192362715,0.6754621512153054
128,Xavier,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,11,0.2898188604638052,27.87111639976501,0.427,0.299229152067274,0.2135,0.5
