Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Accuracy(macro),F1-score(macro),Presicion(macro),Recall(macro)
128,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0444624428626018,205.28511929512024,0.732,0.7300955542306515,0.7305055646933115,0.735412043110953
256,Xavier,none,0.01,32,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0445265751692026,707.1479172706604,0.727,0.7233411872007296,0.7224375191350167,0.7256785642761096
128,Xavier,none,0.01,16,TF,"(1, 2)",only_normalizar_texto,100,0.0093569109154962,895.0006563663483,0.724,0.7214327239842387,0.7211098684817073,0.7254476419354972
1024,Xavier,none,0.01,16,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0525246268823779,6275.54594039917,0.727,0.7213008817305071,0.7211138310893512,0.7215015265397207
1024,Normal,none,0.5,16,TF,"(1, 1)",only_normalizar_texto,100,0.0386029520062834,6676.142870664597,0.724,0.7176470588235294,0.7179263411056619,0.7173919263010329
64,Xavier,none,0.1,32,TF-IDF,"(1, 1)",only_normalizar_texto,100,0.0064494339208636,200.348649263382,0.717,0.7129348707040399,0.7120790369689047,0.7148640419175137
64,Xavier,none,0.01,32,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,100,0.046855186332897,194.55589413642883,0.714,0.7079439252336448,0.7078245747247498,0.7080692031340043
256,Xavier,none,0.01,64,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0488362873037764,639.108188867569,0.712,0.7079332627505385,0.7071075713277548,0.7099043204956861
128,Normal,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0371319113579636,408.09542751312256,0.71,0.7065775201955611,0.7058989046327002,0.7093525591508597
64,Xavier,none,0.01,16,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.0149495283566518,421.1552817821503,0.71,0.7063160282584743,0.7055566063932968,0.7087558394742328
512,Xavier,none,0.01,64,TF,"(1, 1)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0253026959872851,1213.9761168956757,0.708,0.701816874714071,0.7017011010005756,0.7019385215248231
128,Normal,none,0.5,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0339778428024339,383.2954168319702,0.707,0.7017237921595095,0.7011363636363637,0.7025577203673504
64,Normal,none,0.5,64,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0246707476184066,206.1057779788971,0.705,0.7010463378176383,0.7002811840345478,0.703199398375778
128,Normal,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.0341759172657689,632.3273720741272,0.706,0.6988581191538528,0.6994072437037615,0.698403161796862
256,Normal,none,0.01,64,TF,"(1, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.0686320433542932,727.052939414978,0.708,0.6965805038426209,0.7021741254848975,0.6944795255669859
64,Xavier,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,80,0.0063175030924696,322.6374490261078,0.698,0.6943010426156493,0.6936584738025426,0.6967928360941836
